employee_id,name,age,city,department,education,experience_years,salary,performance_score,projects_completed,hours_per_week,last_review_notes
1019,Sara,22.0,Quetta,Backend,Bachelors,13.0,127453.0,92.58,13.0,37.0,neural training analysis model prediction training
1020,Usman,42.0,Karachi,Data,,12.0,65938.0,57.83,16.0,54.0,prediction training learning neural data neural
1021,Ali,31.0,Quetta,Frontend,Bachelors,10.0,,,13.0,,learning model system prediction feature
1022,Fatima,21.0,Quetta,ML,Bachelors,1.0,100282.0,92.13,16.0,53.0,
1023,Hina,39.0,Peshawar,Data,PhD,6.0,,75.04,,,
1024,Omar,41.0,Lahore,AI,Masters,14.0,,99.07,11.0,43.0,model analysis training model model training neural
1025,Ali,24.0,Islamabad,ML,Bachelors,0.0,174731.0,54.87,15.0,,analysis model model pipeline analysis system data pipeline
1026,Fatima,39.0,Lahore,Frontend,PhD,4.0,155819.0,,0.0,,data system pipeline data system feature model neural prediction prediction
1027,Ahmed,41.0,Peshawar,Frontend,Masters,8.0,44763.0,81.91,12.0,33.0,analysis analysis learning system model data
1028,Bilal,,,AI,Masters,6.0,87588.0,67.5,5.0,56.0,
1029,Zara,28.0,Quetta,AI,PhD,6.0,51221.0,,,49.0,prediction learning learning learning analysis data
1030,Omar,,Peshawar,ML,PhD,10.0,53569.0,53.28,11.0,44.0,feature data pipeline data neural prediction training model
1031,Ahmed,,Quetta,Backend,,,,77.47,18.0,44.0,training model system learning prediction learning neural feature analysis learning prediction
1032,Usman,37.0,Karachi,AI,PhD,11.0,85337.0,79.54,5.0,59.0,analysis training analysis learning learning system training
1033,Ahmed,27.0,Peshawar,Backend,PhD,1.0,111695.0,82.64,6.0,56.0,training data data learning feature
1034,Bilal,,Karachi,Data,Bachelors,7.0,146749.0,,0.0,50.0,prediction feature prediction data learning feature learning neural learning prediction feature
1035,Usman,23.0,Peshawar,Frontend,,2.0,,68.23,0.0,42.0,training training training data feature learning training training data training neural
1036,Omar,42.0,Peshawar,Backend,Masters,14.0,,92.18,,38.0,training training data pipeline system data model feature system
1037,Bilal,22.0,Karachi,Frontend,Bachelors,,45636.0,59.75,,57.0,pipeline training system model training data analysis prediction model analysis system
1038,Sara,43.0,Islamabad,Backend,Bachelors,2.0,117129.0,91.34,15.0,54.0,neural prediction learning training learning model neural analysis training pipeline
1039,Zara,35.0,Lahore,Data,Bachelors,,173964.0,78.13,15.0,39.0,system model pipeline system system training feature system
1040,Omar,44.0,Quetta,AI,PhD,6.0,61672.0,88.11,,58.0,
1041,Sara,42.0,Peshawar,Data,Masters,1.0,45812.0,,0.0,,neural training system data feature pipeline system neural pipeline
1042,Fatima,,,AI,Masters,3.0,40654.0,60.38,12.0,,
1043,Omar,25.0,Karachi,AI,,10.0,94633.0,78.44,19.0,30.0,
1044,Fatima,44.0,,Frontend,Masters,,,93.39,9.0,43.0,feature system system learning pipeline training training training
1045,Usman,21.0,,Data,Bachelors,10.0,95934.0,,9.0,43.0,data training pipeline neural analysis prediction learning learning neural analysis analysis
1046,Sara,24.0,,Backend,Bachelors,8.0,107334.0,98.33,8.0,37.0,prediction training pipeline feature analysis training analysis training feature neural
1047,Zara,35.0,Lahore,Data,PhD,4.0,143463.0,72.61,12.0,45.0,feature training data feature neural data neural feature data
1048,Bilal,40.0,Lahore,Frontend,,12.0,,57.14,2.0,43.0,
1049,Ayesha,39.0,Lahore,AI,Bachelors,8.0,,69.47,17.0,30.0,training system feature prediction model training analysis neural
1050,Ahmed,23.0,Lahore,Frontend,Bachelors,,48446.0,97.59,,,data system training training analysis feature feature training neural data
1051,Ali,40.0,Lahore,ML,PhD,4.0,142127.0,65.99,1.0,47.0,model system pipeline neural learning neural learning pipeline model system analysis model
1052,Zara,31.0,Lahore,ML,PhD,9.0,88867.0,,,36.0,learning neural model system data system feature system feature training data
1053,Sara,,Karachi,Backend,PhD,,100101.0,94.06,18.0,44.0,neural feature model prediction data model
1054,Ayesha,33.0,Peshawar,Frontend,Bachelors,12.0,128074.0,67.51,12.0,,feature prediction learning model learning
1055,Zara,31.0,Quetta,Backend,Bachelors,,158422.0,54.16,,46.0,neural learning prediction neural data system pipeline
1056,Sara,22.0,,Backend,PhD,0.0,,,0.0,48.0,feature learning system analysis prediction analysis
1057,Hina,29.0,Karachi,ML,Masters,6.0,160044.0,65.58,1.0,52.0,system feature model pipeline pipeline learning feature training pipeline learning prediction
1058,Hina,22.0,Karachi,Backend,PhD,3.0,79148.0,89.15,0.0,42.0,system neural system analysis system
1059,Fatima,41.0,Karachi,ML,PhD,,122928.0,72.13,4.0,38.0,training learning prediction pipeline training feature neural feature prediction data training
1060,Zara,29.0,Peshawar,AI,PhD,,91660.0,74.26,2.0,53.0,neural training analysis system data prediction data neural feature analysis pipeline system
1061,Hina,29.0,Quetta,Frontend,PhD,4.0,75450.0,88.9,6.0,53.0,
1062,Sara,28.0,Peshawar,Backend,Bachelors,11.0,73757.0,69.12,12.0,44.0,analysis data neural feature neural model data neural data pipeline system analysis
1063,Fatima,37.0,Islamabad,ML,Masters,,,72.16,,54.0,neural feature system feature data data learning learning learning analysis
1064,Sara,21.0,,Data,PhD,11.0,146750.0,68.81,6.0,55.0,learning feature data analysis feature analysis prediction
1065,Fatima,31.0,Islamabad,Backend,Masters,8.0,,68.37,0.0,32.0,data system system feature learning model model data
1066,Zara,28.0,Lahore,AI,Masters,1.0,96116.0,76.3,4.0,53.0,pipeline feature learning model data neural system
1067,Ayesha,30.0,Lahore,AI,Masters,8.0,72152.0,90.44,,30.0,data training learning model neural
1068,Bilal,27.0,Peshawar,Data,,9.0,146379.0,68.09,7.0,45.0,
1069,Omar,23.0,Quetta,ML,,1.0,60836.0,76.21,14.0,37.0,pipeline feature data analysis neural neural training prediction system pipeline pipeline
1070,Ayesha,23.0,Islamabad,Backend,PhD,8.0,109444.0,83.54,19.0,58.0,prediction data data pipeline learning learning
1071,Usman,38.0,Quetta,ML,Masters,5.0,133109.0,63.47,3.0,52.0,learning neural pipeline neural model data
1072,Sara,25.0,,AI,Masters,10.0,175451.0,63.88,1.0,42.0,feature neural pipeline prediction feature pipeline pipeline prediction neural
1073,Usman,32.0,Lahore,ML,Bachelors,8.0,122018.0,96.67,,37.0,pipeline prediction training model learning system feature analysis
1074,Ayesha,32.0,Quetta,AI,PhD,12.0,163076.0,86.18,,46.0,neural neural system neural data analysis neural analysis training
1075,Fatima,39.0,Quetta,ML,Masters,,171949.0,,4.0,51.0,pipeline model data pipeline training analysis model feature training analysis
1076,Omar,26.0,Lahore,Data,Bachelors,,123788.0,,5.0,,neural pipeline prediction learning analysis pipeline neural
1077,Omar,22.0,Islamabad,Frontend,Masters,,136870.0,51.46,1.0,43.0,neural neural system learning learning neural
1078,Ali,32.0,Lahore,Data,Bachelors,10.0,123308.0,,0.0,56.0,data prediction training analysis neural system system prediction neural analysis prediction pipeline
1079,Omar,39.0,Quetta,Data,,13.0,97913.0,75.48,3.0,,neural learning system feature pipeline feature data analysis prediction neural pipeline learning
1080,Bilal,25.0,Islamabad,Frontend,,1.0,42637.0,77.29,6.0,59.0,feature system model neural data training learning prediction
1081,Omar,32.0,Islamabad,Frontend,Masters,7.0,,,,50.0,
1082,Ayesha,,Lahore,Backend,PhD,2.0,139508.0,,,36.0,
1083,Ali,37.0,Quetta,Backend,Masters,,122464.0,59.67,7.0,56.0,system feature data model feature training analysis pipeline training neural neural
1084,Ayesha,30.0,Peshawar,Data,,4.0,68742.0,,19.0,44.0,analysis analysis neural system learning pipeline analysis data feature model
1085,Ayesha,43.0,Quetta,Data,,,51831.0,70.43,15.0,45.0,
1086,Ahmed,37.0,,AI,PhD,,153768.0,73.33,12.0,48.0,model prediction model learning training prediction model feature data pipeline system model
1087,Ali,,Peshawar,AI,Bachelors,7.0,,52.64,17.0,,training training system system feature feature training model model pipeline
1088,Ayesha,32.0,Islamabad,Backend,Masters,2.0,,51.88,19.0,52.0,prediction feature neural model pipeline training neural pipeline prediction
1089,Ahmed,36.0,Peshawar,Backend,Masters,1.0,128370.0,85.86,9.0,,
1090,Ahmed,44.0,Islamabad,AI,Bachelors,0.0,,76.9,11.0,41.0,analysis feature learning model training pipeline data prediction learning neural data
1091,Ali,39.0,Islamabad,AI,PhD,3.0,144824.0,75.44,0.0,47.0,pipeline training neural data analysis model prediction prediction data
1092,Usman,28.0,Peshawar,ML,Masters,12.0,128741.0,62.16,,45.0,pipeline neural system prediction training learning system system data pipeline model
1093,Fatima,41.0,Islamabad,ML,Masters,7.0,58830.0,87.24,8.0,41.0,
1094,Bilal,37.0,Islamabad,AI,PhD,12.0,95044.0,58.41,2.0,49.0,data learning data feature feature pipeline learning model pipeline model
1095,Fatima,43.0,Karachi,ML,Bachelors,2.0,113948.0,59.5,,42.0,model system learning prediction system neural data feature training system analysis data
1096,Omar,25.0,Quetta,Frontend,PhD,13.0,109202.0,73.04,8.0,37.0,data training neural training feature system learning
1097,Bilal,42.0,Quetta,Backend,PhD,0.0,77045.0,64.31,9.0,56.0,learning prediction training feature prediction prediction
1098,Omar,36.0,Karachi,Backend,PhD,3.0,147509.0,,18.0,58.0,model system data learning system feature data system pipeline system
1099,Ayesha,26.0,Peshawar,AI,,8.0,55198.0,82.26,15.0,,
1100,Sara,,,Data,,12.0,109521.0,82.55,17.0,55.0,pipeline learning model model prediction learning data analysis system
1101,Ali,38.0,Lahore,AI,,0.0,146471.0,91.23,13.0,51.0,pipeline feature prediction neural feature learning neural model neural neural
1102,Bilal,32.0,Lahore,ML,,11.0,69475.0,70.89,,30.0,model system neural prediction training model pipeline analysis prediction
1103,Bilal,35.0,Karachi,Data,Masters,13.0,59403.0,53.65,,55.0,model data prediction prediction training model data pipeline prediction model
1104,Ayesha,29.0,Karachi,ML,PhD,10.0,43681.0,63.68,0.0,,data learning analysis model feature data data training system learning
1105,Usman,33.0,Islamabad,Frontend,Masters,1.0,,99.0,17.0,36.0,data prediction prediction analysis feature
1106,Ahmed,35.0,Lahore,ML,Masters,8.0,158884.0,79.81,8.0,44.0,
1107,Ayesha,30.0,Peshawar,Frontend,Masters,1.0,133122.0,85.49,12.0,,data learning neural learning model neural system
1108,Hina,36.0,,Frontend,Masters,12.0,155260.0,50.37,1.0,51.0,neural data pipeline feature prediction pipeline
1109,Ahmed,27.0,Lahore,ML,Bachelors,2.0,145386.0,75.91,,,neural prediction model neural neural pipeline neural prediction model
1110,Ali,37.0,Lahore,ML,Masters,6.0,176701.0,,15.0,42.0,
1111,Ahmed,,Lahore,Frontend,,2.0,133246.0,78.46,18.0,57.0,prediction analysis neural pipeline model feature training pipeline feature feature data
1112,Usman,41.0,,Data,PhD,8.0,135864.0,96.04,14.0,38.0,training neural training system feature system system data prediction pipeline neural model
1113,Ahmed,42.0,Karachi,Frontend,,5.0,,98.42,10.0,53.0,model model feature training analysis analysis
1114,Ali,27.0,Karachi,Backend,Bachelors,2.0,158888.0,77.03,,44.0,
1115,Usman,34.0,,Frontend,PhD,8.0,,72.91,6.0,33.0,
1116,Fatima,35.0,Peshawar,Data,Masters,0.0,170908.0,97.25,,42.0,training prediction training pipeline pipeline model prediction training data learning feature
1117,Bilal,41.0,Peshawar,Backend,PhD,,,83.68,7.0,56.0,prediction system learning learning pipeline model feature prediction model
1118,Bilal,,,AI,Bachelors,2.0,51332.0,53.24,9.0,41.0,system neural learning system system prediction analysis training
1119,Omar,,Karachi,AI,,,59177.0,73.29,4.0,34.0,learning pipeline pipeline data pipeline neural neural
1120,Fatima,39.0,Quetta,Data,PhD,,170560.0,,8.0,36.0,data analysis system learning pipeline analysis analysis system data
1121,Fatima,36.0,Quetta,Frontend,Bachelors,11.0,97104.0,73.49,0.0,37.0,model system data learning data
1122,Ahmed,28.0,Peshawar,ML,Bachelors,7.0,124335.0,72.77,1.0,34.0,learning neural neural learning analysis data analysis pipeline system system
1123,Bilal,38.0,,Data,Masters,6.0,,79.11,18.0,38.0,
1124,Ali,43.0,Islamabad,Backend,PhD,1.0,120730.0,,,43.0,feature neural learning model system training pipeline training prediction model training
1125,Zara,38.0,Karachi,Backend,Masters,1.0,176023.0,58.21,19.0,55.0,
1126,Zara,40.0,Lahore,AI,PhD,8.0,,75.19,9.0,41.0,analysis learning feature system prediction pipeline
1127,Usman,27.0,Karachi,Backend,PhD,12.0,61673.0,91.51,,33.0,
1128,Bilal,23.0,Lahore,Data,Masters,12.0,154421.0,83.2,,,
1129,Bilal,38.0,Lahore,Backend,PhD,5.0,,66.92,5.0,58.0,feature analysis system model neural model system data pipeline
1130,Zara,30.0,Islamabad,Data,PhD,4.0,167536.0,96.78,16.0,37.0,pipeline analysis neural analysis feature training
1131,Bilal,27.0,Peshawar,ML,PhD,9.0,,95.61,5.0,46.0,prediction analysis learning pipeline analysis prediction neural training training prediction model pipeline
1132,Ahmed,37.0,Karachi,AI,Bachelors,5.0,62821.0,60.47,3.0,37.0,data neural neural analysis learning
1133,Hina,34.0,Lahore,Backend,Masters,8.0,65494.0,51.97,19.0,50.0,
1134,Sara,44.0,Karachi,Data,Bachelors,10.0,139477.0,,2.0,58.0,
1135,Fatima,23.0,Peshawar,Frontend,Masters,6.0,166083.0,,,59.0,learning feature model analysis pipeline system learning feature prediction prediction prediction
1136,Omar,32.0,Peshawar,AI,Masters,14.0,152698.0,,17.0,56.0,pipeline neural system system learning data
1137,Usman,33.0,Quetta,ML,PhD,9.0,151560.0,94.49,3.0,30.0,learning prediction learning data feature analysis analysis feature analysis pipeline training pipeline
1138,Hina,22.0,Peshawar,Data,,9.0,171907.0,80.03,7.0,49.0,learning learning pipeline pipeline prediction feature model system feature prediction pipeline
1139,Zara,23.0,Islamabad,ML,Bachelors,13.0,58646.0,76.5,16.0,31.0,data data prediction feature prediction learning pipeline analysis neural feature feature analysis
1140,Fatima,25.0,Lahore,ML,,8.0,,51.39,4.0,33.0,prediction training training learning data pipeline training analysis learning training training
1141,Bilal,,Quetta,Backend,Bachelors,3.0,,62.33,12.0,53.0,
1142,Omar,28.0,Islamabad,Backend,Masters,1.0,77335.0,72.98,0.0,50.0,neural system system system model
1143,Bilal,43.0,Karachi,Data,Bachelors,11.0,109351.0,81.43,,30.0,model prediction training pipeline feature learning data training
1144,Ali,43.0,Lahore,Frontend,Masters,,154934.0,,3.0,36.0,feature neural pipeline prediction model data learning
1145,Ali,32.0,Peshawar,Data,,3.0,173501.0,87.13,13.0,30.0,learning data system model neural feature neural learning prediction analysis model
1146,Omar,27.0,,Frontend,,12.0,81950.0,63.99,2.0,,feature data model system analysis learning pipeline analysis
1147,Omar,35.0,Karachi,ML,Masters,8.0,100654.0,78.25,4.0,32.0,model analysis analysis prediction analysis system neural pipeline prediction data
1148,Zara,44.0,Quetta,AI,Bachelors,,147422.0,54.41,6.0,41.0,system model data pipeline learning
1149,Omar,37.0,Quetta,Data,PhD,14.0,149934.0,70.68,0.0,48.0,learning system system pipeline training pipeline prediction neural learning learning
1150,Ahmed,24.0,Quetta,Data,Masters,3.0,,87.51,11.0,44.0,model data feature training system system system training neural model pipeline data
1151,Bilal,42.0,,Frontend,Masters,14.0,131186.0,84.67,10.0,51.0,
1152,Hina,,Islamabad,ML,Masters,7.0,144234.0,99.53,7.0,45.0,training system prediction neural neural prediction analysis training feature model pipeline training
1153,Ayesha,38.0,Islamabad,ML,PhD,8.0,142326.0,63.89,5.0,39.0,system model pipeline system pipeline neural pipeline system model
1154,Omar,21.0,Lahore,Frontend,Masters,12.0,117527.0,74.91,1.0,51.0,pipeline neural pipeline feature model pipeline neural analysis feature learning
1155,Usman,36.0,Peshawar,ML,Bachelors,8.0,126704.0,66.48,18.0,58.0,learning pipeline feature model model
1156,Ali,33.0,Quetta,Backend,Bachelors,9.0,136952.0,72.03,19.0,56.0,system prediction model learning neural system neural model learning system
1157,Ahmed,30.0,Quetta,AI,Bachelors,3.0,,92.85,,56.0,pipeline data learning feature neural system analysis data data neural
1158,Fatima,32.0,Karachi,Data,Masters,0.0,111116.0,84.21,13.0,35.0,pipeline prediction data learning model learning feature prediction training
1159,Ayesha,22.0,Karachi,AI,,14.0,129626.0,94.12,0.0,58.0,pipeline feature analysis data data learning feature feature learning system
1160,Hina,43.0,Quetta,Data,Masters,2.0,86015.0,60.18,,46.0,
1161,Ayesha,23.0,Quetta,Backend,Bachelors,8.0,142877.0,93.67,15.0,50.0,pipeline model system prediction feature analysis feature
1162,Omar,30.0,Peshawar,ML,PhD,3.0,,,3.0,57.0,learning system model neural analysis learning
1163,Zara,22.0,Islamabad,Frontend,PhD,4.0,174563.0,94.43,10.0,51.0,feature learning analysis training training analysis system
1164,Ali,43.0,Karachi,Backend,PhD,6.0,171778.0,66.45,15.0,53.0,system feature system prediction training training data
1165,Ali,33.0,Islamabad,AI,PhD,4.0,137493.0,65.73,19.0,58.0,learning system analysis analysis learning prediction learning pipeline feature
1166,Fatima,33.0,Peshawar,Frontend,Masters,,178069.0,75.6,0.0,46.0,training analysis training model model pipeline analysis pipeline feature neural
1167,Zara,38.0,Quetta,ML,Bachelors,14.0,,97.03,15.0,50.0,neural pipeline data prediction neural
1168,Bilal,23.0,Islamabad,Backend,PhD,,161648.0,52.39,18.0,48.0,data model model neural neural data pipeline system feature feature training
1169,Sara,,Quetta,Frontend,,14.0,65163.0,67.61,8.0,,
1170,Ahmed,,Quetta,Backend,PhD,1.0,127508.0,92.83,8.0,,prediction prediction training prediction feature learning learning prediction
1171,Ali,40.0,Lahore,Backend,PhD,12.0,79619.0,69.8,8.0,53.0,neural system model prediction analysis prediction data system model neural training pipeline
1172,Usman,37.0,Islamabad,ML,,12.0,52126.0,59.96,16.0,36.0,data model learning learning data system neural model model analysis system data
1173,Ali,,Islamabad,Data,Masters,3.0,,71.24,11.0,39.0,
1174,Ayesha,32.0,Quetta,Frontend,Bachelors,9.0,,69.28,,36.0,learning analysis analysis model learning system neural
1175,Ali,36.0,Peshawar,ML,Bachelors,12.0,43317.0,95.77,7.0,34.0,learning training learning prediction system system pipeline training analysis analysis analysis neural
1176,Ali,44.0,Lahore,Backend,PhD,9.0,84980.0,88.1,15.0,41.0,
1177,Sara,32.0,Quetta,ML,,12.0,84115.0,75.26,17.0,45.0,data pipeline prediction analysis data model neural analysis feature feature system training
1178,Sara,,Karachi,Data,Bachelors,14.0,83158.0,99.42,,,model prediction learning model system learning pipeline neural
1179,Hina,30.0,Karachi,Frontend,Bachelors,8.0,145364.0,73.26,,54.0,training feature model learning data system pipeline analysis system learning prediction system
1180,Bilal,,Lahore,Data,Masters,7.0,,,11.0,,
1181,Usman,40.0,Peshawar,AI,Bachelors,2.0,77196.0,63.11,,,feature feature pipeline neural neural analysis prediction feature data
1182,Ali,25.0,Quetta,Frontend,,14.0,,71.8,8.0,32.0,training system system feature learning model prediction model prediction pipeline feature
1183,Ali,21.0,Islamabad,Data,PhD,13.0,179677.0,57.85,4.0,49.0,data analysis prediction pipeline learning pipeline analysis data
1184,Ahmed,37.0,Lahore,Backend,Bachelors,8.0,97388.0,97.38,15.0,44.0,pipeline model neural feature learning feature model analysis
1185,Sara,23.0,Peshawar,Frontend,PhD,13.0,95501.0,88.34,17.0,34.0,neural prediction training neural learning prediction system
1186,Usman,33.0,Islamabad,Frontend,Bachelors,4.0,67043.0,63.41,16.0,42.0,prediction model analysis analysis feature
1187,Fatima,34.0,,ML,Masters,10.0,73635.0,79.54,17.0,48.0,
1188,Hina,44.0,,Backend,Bachelors,2.0,120691.0,86.07,,41.0,feature learning feature training data model data pipeline prediction system neural
1189,Bilal,38.0,Islamabad,AI,Bachelors,4.0,73132.0,97.06,18.0,,training learning analysis data training system feature pipeline feature model system data
1190,Zara,24.0,Lahore,Data,Bachelors,12.0,,94.08,7.0,52.0,learning training training training analysis model pipeline learning
1191,Bilal,38.0,Karachi,ML,PhD,9.0,133944.0,75.76,2.0,,neural prediction model system neural data system
1192,Ayesha,25.0,Quetta,Data,Masters,12.0,155267.0,88.73,,34.0,
1193,Ali,36.0,Islamabad,AI,,3.0,79236.0,78.11,,35.0,neural analysis training feature system learning prediction
1194,Hina,21.0,Islamabad,AI,PhD,,,,18.0,,system data prediction neural neural prediction system feature prediction
1195,Ayesha,41.0,Karachi,Frontend,Masters,12.0,151369.0,55.74,17.0,55.0,feature pipeline analysis feature analysis analysis system prediction
1196,Usman,34.0,Lahore,AI,PhD,11.0,,56.31,17.0,39.0,model analysis analysis analysis learning system
1197,Zara,35.0,Quetta,Data,PhD,4.0,44137.0,76.48,0.0,45.0,learning data analysis model analysis training neural analysis neural model neural training
1198,Sara,29.0,Lahore,Backend,Masters,9.0,69992.0,63.44,14.0,37.0,system training feature analysis model
1199,Hina,35.0,Peshawar,Backend,Bachelors,11.0,150540.0,51.05,17.0,38.0,
1200,Hina,37.0,,Frontend,PhD,7.0,155140.0,86.14,6.0,56.0,system training neural prediction system model prediction training learning training learning
1201,Ali,44.0,,Data,PhD,8.0,161225.0,,15.0,33.0,analysis feature data model model data pipeline analysis analysis training data
1202,Omar,24.0,Karachi,Data,,3.0,106917.0,79.76,15.0,50.0,learning learning training feature model pipeline pipeline prediction training data
1203,Hina,32.0,Karachi,AI,Bachelors,6.0,113690.0,76.96,14.0,50.0,learning model analysis feature model feature
1204,Ahmed,25.0,Peshawar,Data,Masters,1.0,74235.0,98.44,5.0,37.0,neural analysis feature feature learning prediction data prediction analysis analysis feature
1205,Zara,25.0,Lahore,ML,Masters,5.0,59122.0,74.21,,54.0,data training prediction analysis neural data analysis analysis feature learning
1206,Zara,31.0,,AI,,7.0,63956.0,53.18,6.0,36.0,analysis model system pipeline system analysis pipeline neural data learning analysis
1207,Ahmed,26.0,,ML,,,103879.0,77.58,,44.0,training system feature training prediction analysis prediction analysis
1208,Fatima,27.0,Quetta,Frontend,PhD,6.0,98560.0,92.05,,50.0,system data system model neural system analysis
1209,Ahmed,44.0,Lahore,Backend,PhD,6.0,,99.84,15.0,32.0,model system pipeline model model training analysis pipeline
1210,Ahmed,34.0,Peshawar,Frontend,Masters,7.0,41168.0,71.52,5.0,46.0,neural training system prediction model prediction prediction learning
1211,Zara,44.0,Islamabad,Backend,Bachelors,6.0,85124.0,66.01,15.0,40.0,prediction pipeline feature system data system data neural pipeline system system training
1212,Bilal,31.0,Islamabad,Frontend,PhD,4.0,92797.0,95.33,19.0,38.0,model prediction neural training prediction system neural analysis data learning data prediction
1213,Zara,,Islamabad,Data,Masters,6.0,75294.0,59.56,15.0,34.0,data learning data analysis data analysis prediction system feature neural feature
1214,Omar,22.0,Quetta,ML,,12.0,43516.0,80.77,11.0,54.0,neural feature system learning analysis learning training prediction prediction analysis training model
1215,Ali,27.0,Karachi,Backend,PhD,13.0,70373.0,70.29,16.0,39.0,feature neural training data feature
1216,Ayesha,40.0,Peshawar,AI,Bachelors,9.0,162026.0,52.05,4.0,44.0,data neural model pipeline prediction
1217,Bilal,24.0,Quetta,ML,,2.0,,67.36,,57.0,pipeline model analysis neural model feature analysis data analysis pipeline neural prediction
1218,Sara,28.0,Peshawar,AI,PhD,4.0,105184.0,63.26,7.0,58.0,learning model learning learning analysis training data
1219,Ayesha,40.0,Peshawar,ML,Masters,6.0,77879.0,,4.0,43.0,
1220,Ali,42.0,Karachi,ML,Bachelors,14.0,89597.0,97.44,,33.0,system analysis model model learning neural neural feature analysis training model
1221,Omar,41.0,Islamabad,Frontend,PhD,,43626.0,63.4,8.0,50.0,data prediction pipeline analysis data
1222,Omar,39.0,,Backend,Bachelors,14.0,125936.0,90.57,2.0,49.0,
1223,Sara,33.0,Quetta,Backend,,,,52.77,,,prediction analysis feature feature system
1224,Bilal,34.0,,ML,Bachelors,3.0,,76.91,0.0,,data analysis analysis training pipeline analysis
1225,Fatima,30.0,Quetta,Data,,11.0,,53.53,17.0,30.0,feature learning prediction feature analysis prediction model neural training system feature
1226,Ahmed,31.0,Karachi,Data,Masters,,44025.0,96.7,11.0,53.0,prediction system pipeline feature neural data analysis system learning analysis system
1227,Bilal,22.0,Peshawar,AI,Masters,0.0,119380.0,88.32,8.0,49.0,feature feature model learning feature pipeline feature system learning
1228,Fatima,29.0,Peshawar,AI,Masters,12.0,158910.0,82.9,8.0,34.0,prediction neural feature learning model
1229,Omar,37.0,,Frontend,Bachelors,1.0,,91.19,17.0,35.0,neural analysis neural model system model analysis system system data system
1230,Zara,23.0,Quetta,ML,PhD,8.0,166189.0,82.38,17.0,59.0,feature analysis prediction data analysis pipeline
1231,Ali,44.0,Peshawar,AI,Bachelors,12.0,174515.0,,,53.0,learning system neural model neural neural neural
1232,Sara,26.0,Lahore,AI,,9.0,61395.0,85.7,3.0,40.0,system prediction feature neural pipeline neural
1233,Ali,25.0,Peshawar,ML,Masters,6.0,50725.0,96.23,12.0,37.0,system prediction system pipeline training system system
1234,Usman,25.0,Quetta,Frontend,,11.0,73461.0,75.86,16.0,36.0,system pipeline pipeline neural learning system system
1235,Usman,42.0,Islamabad,AI,Bachelors,9.0,81115.0,55.85,1.0,33.0,
1236,Bilal,,Quetta,Frontend,Masters,6.0,150084.0,76.41,13.0,35.0,
1237,Omar,43.0,Karachi,Backend,PhD,5.0,123732.0,56.34,,45.0,feature model prediction neural neural analysis prediction pipeline analysis feature system
1238,Omar,,Peshawar,Frontend,Bachelors,2.0,,79.62,4.0,49.0,learning data pipeline learning pipeline analysis
1239,Ahmed,,Peshawar,Data,Bachelors,9.0,111260.0,74.12,13.0,44.0,prediction system feature learning model data feature analysis pipeline data system
